candy,max,zekry,jonathan,mousa,blair,vishal,megan,sara,lucas,cody,minh
100 Grand,,,,,,,,,,,
3 Musketeers,,,8,,,,,,,7,
One dime,,,,,,,,,,,
One quarter,,,,,,,,,,,
Air Heads,4,,8,,5,5,6,5,,,
Almond Joy,,,,,3,,,4,,,
Baby Ruth,,,,,,,,,,,
Boston Baked Beans,,,,,,,,,,,
Candy Corn,1,,,8,2,4,,,,,
Caramel Apple Pops,,,,,,,,,,,
Charleston Chew,3,,,,,,,,,6,
Chewey Lemonhead Fruit Mix,,,,8,,,,,,,
Chiclets,4,3,,,2,3,1,,,4,
Dots,6,,,,,3,,,,,
Dum Dums,,,,,,,,,,,
Fruit Chews,,,,8,,,4,,,,
Fun Dip,6,,,,7,5,9,,,,
Gobstopper,,,,,5,3,6,,,3,
Haribo Gold Bears,7,,4,,7,,9,,,5,
Haribo Happy Cola,7,9,9,,7,,7,6,,,
Haribo Sour Bears,8,,3,,8,,7,,,,
Haribo Twin Snakes,,,,,6,,,,,,
Hershey's Kisses,2,6,7,6,7,7,9,7,,,
Hershey's Krackel,,,,6,,,,3,,,
Hershey's Milk Chocolate,3,6,9,6,7,8,8,7,,7,
Hershey's Special Dark,,8,,6,8,9,8,9,,,
Jawbusters,,,,,,,,0,,,
Junior Mints,7,,,,5,,4,,,,
Kit Kat,6,7,9,9,7,6,10,7,,,
Laffy Taffy,,,,8,7,3,5,4,,3,
Lemonhead,,,,,,,,,,,
Lifesavers big ring gummies,,,,,,5,8,4,,,
Peanut butter M&M's,8,6,2,9,,8,9,8,,9,
M&M's,6,7,6,9,7,8,6,7,,7,
Mike & Ike,6,,2,9,6,,3,,,6,
Milk Duds,,7,,8,6,6,2,,,7,
Milky Way,,5,3,8,6,5,,,,7,
Milky Way Midnight,,,,8,,,,,,,
Milky Way Simply Caramel,,,,9,,,,,,,
Mounds,,,,,6,,,,,,
Mr Good Bar,,,,,,,,,,,
Nerds,7,,,,7,7,10,6,,4,
Nestle Butterfinger,,,5,7,,5,,3,,,
Nestle Crunch,6,,,7,5,6,3,3,,,
Nik L Nip,,,,,4,,,,,,
Now & Later,,,,,,,,,,,
Payday,,,,,,,,,,,
Peanut M&Ms,7,4,0,8,9,9,7,8,,8,
Pixie Sticks,,,,,4,4,,,,2,
Pop Rocks,7,,,,8,,6,5,,2,
Red vines,,,,,,,,,,,
Reese's Miniatures,7,,,10,,5,10,8,,9,
Reese's Peanut Butter cup,7,3,8,10,6,7,10,9,,9,
Reese's pieces,,,8,10,4,8,,7,,,
Reese's stuffed with pieces,,,,10,,5,8,,,,
Ring pop,6,,,,10,6,,0,,7,
Rolo,7,,6,,8,4,2,5,,8,
Root Beer Barrels,,1,,,,,4,,,,
Runts,,,,,,,,,,,
Sixlets,,,,,,,,,,,
Skittles original,7,5,5,9,8,6,7,5,,,
Skittles wildberry,,,,9,8,,,4,,,
Nestle Smarties,5,6,3,,7,6,8,5,,8,
Rockets (smarties),6,,,8,4,,,,,8,
Snickers,,8,7,10,9,7,5,7,,,
Snickers Crisper,7,,,9,,,,,,9,
Sour Patch Kids,8,,,,9,8,8,4,,,
Sour Patch Tricksters,,,,,9,,,4,,,
Starburst,7,,,,9,9,6,6,,8,
Strawberry bon bons,,,,8,,,,,,,
Sugar Babies,,,,,,,,,,,
Sugar Daddy,,,,,,,,,,,
Super Bubble,,,,,,,,,,,
Swedish Fish,6,2,,,7,,,,,6,
Tootsie Pop,,,5,,5,,1,0,,,
Tootsie Rolls,1,,,,6,0,1,0,,5,
Tootsie Roll Midgies,,,,,,,,,,,
Tootsie Roll Snack Bars,,,,,,,,,,,
Trolli Sour Bites,,,,,,,,,,,
Twix,7,6,5,9,9,8,4,7,,10,
Twizzlers,,,,9,7,7,6,4,,6,
Warheads,6,,,,6,6,6,,,6,
Welch's Fruit Snacks,6,,8,,3,8,5,2,,9,
Werther's Original Caramel,3,7,5,,4,4,9,3,,8,
Whoppers,,,,,,,9,,,,
Wine gums,7,9,9,,7,5,8,,,8,
