item,user,review
Reese's Peanut Butter Cups Miniatures,darlene90,5
Reese's Peanut Butter Cups Miniatures,taylordarlene,4
Reese's Peanut Butter Cups Miniatures,aliciadennis,5
Reese's Peanut Butter Cups Miniatures,ocook,5
Reese's Peanut Butter Cups Miniatures,chad38,5
Reese's Peanut Butter Cups Miniatures,rodriguezphilip,5
Reese's Peanut Butter Cups Miniatures,ypowers,5
Reese's Peanut Butter Cups Miniatures,chelseamurphy,5
Reese's Peanut Butter Cups Miniatures,smithkelly,1
Reese's Peanut Butter Cups Miniatures,jchen,5
Reese's Peanut Butter Cups Miniatures,tristan97,5
Reese's Peanut Butter Cups Miniatures,alexisgarcia,5
Reese's Peanut Butter Cups Miniatures,kevin77,5
Reese's Peanut Butter Cups Miniatures,whiteheadkevin,5
Reese's Peanut Butter Cups Miniatures,rodriguezstephanie,5
Reese's Peanut Butter Cups Miniatures,caseyhogan,4
Reese's Peanut Butter Cups Miniatures,michael67,5
Reese's Peanut Butter Cups Miniatures,jake24,5
Reese's Peanut Butter Cups Miniatures,frank77,5
Reese's Peanut Butter Cups Miniatures,allisontodd,5
Reese's Peanut Butter Cups Miniatures,xstephens,5
Reese's Peanut Butter Cups Miniatures,williamsalazar,5
Reese's Peanut Butter Cups Miniatures,monicachaney,5
Reese's Peanut Butter Cups Miniatures,scottwilson,5
Reese's Peanut Butter Cups Miniatures,arnoldgerald,4
Reese's Peanut Butter Cups Miniatures,dwayne82,5
Reese's Peanut Butter Cups Miniatures,holmeslaura,5
Ferrero Rocher Chocolate,nicolecarpenter,5
Ferrero Rocher Chocolate,michael67,5
Ferrero Rocher Chocolate,drussell,5
Ferrero Rocher Chocolate,whitejill,5
Ferrero Rocher Chocolate,whiteheadkevin,4
Ferrero Rocher Chocolate,deanjoe,5
Ferrero Rocher Chocolate,amy38,5
Ferrero Rocher Chocolate,taylordarlene,5
Ferrero Rocher Chocolate,janetblackburn,5
Ferrero Rocher Chocolate,meghanfoster,5
Ferrero Rocher Chocolate,frank77,5
Ferrero Rocher Chocolate,shannon26,5
Ferrero Rocher Chocolate,joedecker,5
Ferrero Rocher Chocolate,charleslopez,5
Ferrero Rocher Chocolate,smithkelly,5
Ferrero Rocher Chocolate,edgar82,5
Ferrero Rocher Chocolate,vancethomas,5
Ferrero Rocher Chocolate,andrew38,5
Ferrero Rocher Chocolate,hunterhayes,5
Ferrero Rocher Chocolate,cguerrero,5
Ferrero Rocher Chocolate,garciakimberly,5
Ferrero Rocher Chocolate,kimberly40,5
Ferrero Rocher Chocolate,lesliesherman,5
Ferrero Rocher Chocolate,tricia41,3
Ferrero Rocher Chocolate,kelly60,5
Lindt Lindor Milk Chocolate Truffles,nathan31,5
Lindt Lindor Milk Chocolate Truffles,deborahsmith,5
Lindt Lindor Milk Chocolate Truffles,victoria47,5
Lindt Lindor Milk Chocolate Truffles,mrobinson,5
Lindt Lindor Milk Chocolate Truffles,curtis34,4
Lindt Lindor Milk Chocolate Truffles,zflores,4
Lindt Lindor Milk Chocolate Truffles,raymondwright,4
Lindt Lindor Milk Chocolate Truffles,vanessastevens,5
Lindt Lindor Milk Chocolate Truffles,calvin80,5
Lindt Lindor Milk Chocolate Truffles,xfreeman,5
Lindt Lindor Milk Chocolate Truffles,erichayes,5
